epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,7612.53,0.88272,0.83194,0.82,0.7512,0.63926,0.71519,0.53946,0.78461,0.70596,0.8158,0.007723,0.007723,0.007723
117,7677.76,0.88101,0.85395,0.81588,0.74247,0.64024,0.71479,0.54081,0.78295,0.70615,0.81544,0.0077032,0.0077032,0.0077032
118,7743.4,0.88735,0.85224,0.8163,0.73703,0.64902,0.71534,0.54168,0.78312,0.70564,0.81599,0.0076834,0.0076834,0.0076834
119,7808.43,0.88122,0.83228,0.82075,0.73906,0.65068,0.71655,0.54261,0.78322,0.70128,0.81579,0.0076636,0.0076636,0.0076636
120,7873.46,0.88076,0.82524,0.81264,0.74687,0.64274,0.71841,0.54424,0.7819,0.69881,0.81541,0.0076438,0.0076438,0.0076438
121,7938.5,0.88346,0.85069,0.81789,0.74705,0.64389,0.71881,0.54429,0.78153,0.6967,0.81543,0.007624,0.007624,0.007624
122,8003.61,0.87119,0.81511,0.82025,0.74753,0.64402,0.72322,0.54815,0.78159,0.69228,0.81557,0.0076042,0.0076042,0.0076042
123,8068.66,0.86592,0.82136,0.81663,0.74394,0.65119,0.72451,0.54909,0.78082,0.68956,0.8156,0.0075844,0.0075844,0.0075844
124,8133.74,0.88747,0.81618,0.81925,0.74724,0.65283,0.72582,0.54947,0.78076,0.68877,0.81558,0.0075646,0.0075646,0.0075646
125,8198.98,0.887,0.82962,0.81756,0.75531,0.64628,0.72511,0.54943,0.78065,0.68727,0.81584,0.0075448,0.0075448,0.0075448
126,8264.22,0.87215,0.80975,0.81838,0.74702,0.65105,0.72636,0.54936,0.78078,0.68424,0.8163,0.007525,0.007525,0.007525
127,8331.16,0.87875,0.81286,0.81921,0.74998,0.64723,0.72801,0.5504,0.78102,0.68288,0.81637,0.0075052,0.0075052,0.0075052
